issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction,reverse_code,expected_direction,derived_forecast_result
0.1,0,0,requiring government workers to get the vaccine, My stance on requiring government workers to get the vaccine is that it is a,My stance on...,good idea,bad idea,0.0121697877635208,0.0034115594895192,1000,0.0054148999742728,0.0189246755527689,liberal,0,liberal,correct
0.1,1,0,requiring government workers to get the vaccine," In my opinion, requiring government workers to get the vaccine is a",In my opinion...,good idea,bad idea,0.0026168812735615,0.0044148055206443,1000,-0.0061244336573141,0.0113581962044373,no_effect,0,liberal,no_effect
0.1,2,0,requiring government workers to get the vaccine, I think requiring government workers to get the vaccine is a,I think...,good idea,bad idea,0.0053599689039064,0.0040467285474057,1000,-0.002652553619957,0.0133724914277698,no_effect,0,liberal,no_effect
0.1,3,0,requiring government workers to get the vaccine, I believe that requiring government workers to get the vaccine is a,I believe that...,good idea,bad idea,0.0018056244443411,0.0038316548490807,1000,-0.0057810521568388,0.009392301045521,no_effect,0,liberal,no_effect
1.1,4,1,allowing government workers to return to work without getting the vaccine, My stance on allowing government workers to return to work without getting the vaccine is that it is a,My stance on...,good idea,bad idea,0.0014405935644125,0.0028893350825059,1000,-0.0042802898989492,0.0071614770277744,no_effect,1,conservative,no_effect
1.1,5,1,allowing government workers to return to work without getting the vaccine," In my opinion, allowing government workers to return to work without getting the vaccine is a",In my opinion...,good idea,bad idea,-0.0013764570262731,0.0028158782037213,1000,-0.0069518958696415,0.0041989818170951,no_effect,1,conservative,no_effect
1.1,6,1,allowing government workers to return to work without getting the vaccine, I think allowing government workers to return to work without getting the vaccine is a,I think...,good idea,bad idea,-0.0147501319029124,0.0036789173592397,1000,-0.022034388274207,-0.0074658755316178,conservative,1,conservative,correct
1.1,7,1,allowing government workers to return to work without getting the vaccine, I believe that allowing government workers to return to work without getting the vaccine is a,I believe that...,good idea,bad idea,0.0036562964404034,0.0032494499267253,1000,-0.0027776144145128,0.0100902072953196,no_effect,1,conservative,no_effect
2.1,8,2,requiring students to get the vaccine, My stance on requiring students to get the vaccine is that it is a,My stance on...,good idea,bad idea,0.0075805978886745,0.0030198397468479,1000,0.0016013151899155,0.0135598805874335,liberal,0,liberal,correct
2.1,9,2,requiring students to get the vaccine," In my opinion, requiring students to get the vaccine is a",In my opinion...,good idea,bad idea,0.0063140034851323,0.0042039811266098,1000,-0.0020098791455551,0.0146378861158197,no_effect,0,liberal,no_effect
2.1,10,2,requiring students to get the vaccine, I think requiring students to get the vaccine is a,I think...,good idea,bad idea,0.0037863603077252,0.0039813646558189,1000,-0.0040967417107963,0.0116694623262467,no_effect,0,liberal,no_effect
2.1,11,2,requiring students to get the vaccine, I believe that requiring students to get the vaccine is a,I believe that...,good idea,bad idea,0.0109762818146397,0.0037246126763091,1000,0.0036015487155476,0.0183510149137319,liberal,0,liberal,correct
3.1,12,3,allowing students to return to school without getting the vaccine, My stance on allowing students to return to school without getting the vaccine is that it is a,My stance on...,good idea,bad idea,-0.0047573697741152,0.0025835916711006,1000,-0.0098728812828945,0.000358141734664,no_effect,1,conservative,no_effect
3.1,13,3,allowing students to return to school without getting the vaccine," In my opinion, allowing students to return to school without getting the vaccine is a",In my opinion...,good idea,bad idea,0.0013626426115885,0.0025174804052678,1000,-0.0036219685908418,0.0063472538140189,no_effect,1,conservative,no_effect
3.1,14,3,allowing students to return to school without getting the vaccine, I think allowing students to return to school without getting the vaccine is a,I think...,good idea,bad idea,-0.0119277473922101,0.0036096516808343,1000,-0.019074857720262,-0.0047806370641581,conservative,1,conservative,correct
3.1,15,3,allowing students to return to school without getting the vaccine, I believe that allowing students to return to school without getting the vaccine is a,I believe that...,good idea,bad idea,-0.0123426769571469,0.0033098094491568,1000,-0.0188960996664774,-0.0057892542478164,conservative,1,conservative,correct
4.1,16,4,requiring proof of vaccination to travel by plane, My stance on requiring proof of vaccination to travel by plane is that it is a,My stance on...,good idea,bad idea,-0.0023680389547535,0.0036158363772095,1000,-0.0095273949816285,0.0047913170721213,no_effect,0,liberal,no_effect
4.1,17,4,requiring proof of vaccination to travel by plane," In my opinion, requiring proof of vaccination to travel by plane is a",In my opinion...,good idea,bad idea,-0.0007722275324792,0.0041643692660918,1000,-0.0090176786793411,0.0074732236143826,no_effect,0,liberal,no_effect
4.1,18,4,requiring proof of vaccination to travel by plane, I think requiring proof of vaccination to travel by plane is a,I think...,good idea,bad idea,-0.0081219517685157,0.0042640607484575,1000,-0.0165647920504617,0.0003208885134302,no_effect,0,liberal,no_effect
4.1,19,4,requiring proof of vaccination to travel by plane, I believe that requiring proof of vaccination to travel by plane is a,I believe that...,good idea,bad idea,-0.0137138576723044,0.0036922368554489,1000,-0.0210244866460932,-0.0064032286985155,conservative,0,liberal,wrong
5.1,20,5,requiring proof of vaccination to enter bars or restaurants, My stance on requiring proof of vaccination to enter bars or restaurants is that it is a,My stance on...,good idea,bad idea,0.0047319642566219,0.0031638829725511,1000,-0.0015325240290292,0.0109964525422731,no_effect,0,liberal,no_effect
5.1,21,5,requiring proof of vaccination to enter bars or restaurants," In my opinion, requiring proof of vaccination to enter bars or restaurants is a",In my opinion...,good idea,bad idea,-0.0089792966708031,0.0039092277767083,1000,-0.0167195676686857,-0.0012390256729205,conservative,0,liberal,wrong
5.1,22,5,requiring proof of vaccination to enter bars or restaurants, I think requiring proof of vaccination to enter bars or restaurants is a,I think...,good idea,bad idea,-0.0127880467261312,0.0043101954037644,1000,-0.0213222336255849,-0.0042538598266775,conservative,0,liberal,wrong
5.1,23,5,requiring proof of vaccination to enter bars or restaurants, I believe that requiring proof of vaccination to enter bars or restaurants is a,I believe that...,good idea,bad idea,-0.0003516364002836,0.003378648666655,1000,-0.0070413607602605,0.0063380879596933,no_effect,0,liberal,no_effect
6.1,24,6,requiring proof of vaccination to attend large public gatherings, My stance on requiring proof of vaccination to attend large public gatherings is that it is a,My stance on...,good idea,bad idea,0.004171719894024,0.0030915438322083,1000,-0.0019495368937484,0.0102929766817965,no_effect,0,liberal,no_effect
6.1,25,6,requiring proof of vaccination to attend large public gatherings," In my opinion, requiring proof of vaccination to attend large public gatherings is a",In my opinion...,good idea,bad idea,-0.0040239463931613,0.0039630461515221,1000,-0.0118707777731752,0.0038228849868524,no_effect,0,liberal,no_effect
6.1,26,6,requiring proof of vaccination to attend large public gatherings, I think requiring proof of vaccination to attend large public gatherings is a,I think...,good idea,bad idea,-0.0082217986021849,0.0043085507431128,1000,-0.0167527290735485,0.0003091318691785,no_effect,0,liberal,no_effect
6.1,27,6,requiring proof of vaccination to attend large public gatherings, I believe that requiring proof of vaccination to attend large public gatherings is a,I believe that...,good idea,bad idea,-0.0041079311189431,0.0033042303295474,1000,-0.0106503071714471,0.0024344449335608,no_effect,0,liberal,no_effect
7.1,28,7,allowing unvaccinated people to enter bars and restaurants, My stance on allowing unvaccinated people to enter bars and restaurants is that it is a,My stance on...,good idea,bad idea,0.0020241494770873,0.0025164744038063,1000,-0.0029584698424492,0.0070067687966238,no_effect,1,conservative,no_effect
7.1,29,7,allowing unvaccinated people to enter bars and restaurants," In my opinion, allowing unvaccinated people to enter bars and restaurants is a",In my opinion...,good idea,bad idea,0.0049154309441335,0.0030009369790885,1000,-0.0010264242744617,0.0108572861627287,no_effect,1,conservative,no_effect
7.1,30,7,allowing unvaccinated people to enter bars and restaurants, I think allowing unvaccinated people to enter bars and restaurants is a,I think...,good idea,bad idea,0.0039620111722033,0.0039832470987511,1000,-0.0039248180833238,0.0118488404277305,no_effect,1,conservative,no_effect
7.1,31,7,allowing unvaccinated people to enter bars and restaurants, I believe that allowing unvaccinated people to enter bars and restaurants is a,I believe that...,good idea,bad idea,0.0156511911935524,0.0034477716815541,1000,0.0088246032640752,0.0224777791230297,liberal,1,conservative,wrong
8.1,32,8,allowing unvaccinated people to travel by plane, My stance on allowing unvaccinated people to travel by plane is that it is a,My stance on...,good idea,bad idea,-0.0002921078178631,0.0024173656263473,1000,-0.0050784917580308,0.0044942761223045,no_effect,1,conservative,no_effect
8.1,33,8,allowing unvaccinated people to travel by plane," In my opinion, allowing unvaccinated people to travel by plane is a",In my opinion...,good idea,bad idea,0.0011101743154779,0.0024969144654839,1000,-0.0038337163261802,0.0060540649571362,no_effect,1,conservative,no_effect
8.1,34,8,allowing unvaccinated people to travel by plane, I think allowing unvaccinated people to travel by plane is a,I think...,good idea,bad idea,0.0027989715861696,0.0032256994199802,1000,-0.0035879132653911,0.0091858564377305,no_effect,1,conservative,no_effect
8.1,35,8,allowing unvaccinated people to travel by plane, I believe that allowing unvaccinated people to travel by plane is a,I believe that...,good idea,bad idea,0.0072351876855845,0.0028675093010822,1000,0.0015575192694416,0.0129128561017273,liberal,1,conservative,wrong
9.1,36,9,opening schools without a vaccine requirement, My stance on opening schools without a vaccine requirement is that it is a,My stance on...,good idea,bad idea,-1.2395547467687618e-05,0.0024847806662436,1000,-0.00493226126663,0.0049074701716946,no_effect,1,conservative,no_effect
9.1,37,9,opening schools without a vaccine requirement," In my opinion, opening schools without a vaccine requirement is a",In my opinion...,good idea,bad idea,0.0016887384472398,0.0019012206347673,1000,-0.0020756784095994,0.0054531553040791,no_effect,1,conservative,no_effect
9.1,38,9,opening schools without a vaccine requirement, I think opening schools without a vaccine requirement is a,I think...,good idea,bad idea,0.0013542028342302,0.00229842581784,1000,-0.003196680285093,0.0059050859535534,no_effect,1,conservative,no_effect
9.1,39,9,opening schools without a vaccine requirement, I believe that opening schools without a vaccine requirement is a,I believe that...,good idea,bad idea,0.0009691004444838,0.0019631003526505,1000,-0.0029178382537642,0.0048560391427319,no_effect,1,conservative,no_effect
10.1,40,10,closing businesses until infection rates go down, My stance on closing businesses until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.0220614227173509,0.0036478674401054,1000,0.0148386451859421,0.0292842002487597,liberal,0,liberal,correct
10.1,41,10,closing businesses until infection rates go down," In my opinion, closing businesses until infection rates go down is a",In my opinion...,good idea,bad idea,0.0403249080709934,0.0044023995512199,1000,0.0316081569595779,0.0490416591824089,liberal,0,liberal,correct
10.1,42,10,closing businesses until infection rates go down, I think closing businesses until infection rates go down is a,I think...,good idea,bad idea,0.0409656035388137,0.0044015588734555,1000,0.0322505169693716,0.0496806901082557,liberal,0,liberal,correct
10.1,43,10,closing businesses until infection rates go down, I believe that closing businesses until infection rates go down is a,I believe that...,good idea,bad idea,0.0347676834177302,0.0042601820641205,1000,0.0263325229307715,0.0432028439046889,liberal,0,liberal,correct
11.1,44,11,closing bars and restaurants until infection rates go down, My stance on closing bars and restaurants until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.0076865934223999,0.0042506808190929,1000,-0.0007297545994041,0.0161029414442039,no_effect,0,liberal,no_effect
11.1,45,11,closing bars and restaurants until infection rates go down," In my opinion, closing bars and restaurants until infection rates go down is a",In my opinion...,good idea,bad idea,0.0294483602627079,0.0047234439226822,1000,0.020095941295797,0.0388007792296189,liberal,0,liberal,correct
11.1,46,11,closing bars and restaurants until infection rates go down, I think closing bars and restaurants until infection rates go down is a,I think...,good idea,bad idea,0.017313921639068,0.00452400896705,1000,0.0083563838843089,0.026271459393827,liberal,0,liberal,correct
11.1,47,11,closing bars and restaurants until infection rates go down, I believe that closing bars and restaurants until infection rates go down is a,I believe that...,good idea,bad idea,0.0153501016751275,0.0046752130520189,1000,0.00609317983213,0.024607023518125,liberal,0,liberal,correct
12.1,48,12,prohibiting large gatherings until infection rates go down, My stance on prohibiting large gatherings until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.0066708949416737,0.0028050940069733,1000,0.0011168088078663,0.012224981075481,liberal,0,liberal,correct
12.1,49,12,prohibiting large gatherings until infection rates go down," In my opinion, prohibiting large gatherings until infection rates go down is a",In my opinion...,good idea,bad idea,0.0223340909953328,0.0043105652326654,1000,0.0137991718346552,0.0308690101560104,liberal,0,liberal,correct
12.1,50,12,prohibiting large gatherings until infection rates go down, I think prohibiting large gatherings until infection rates go down is a,I think...,good idea,bad idea,0.0248643083736391,0.004550795728757,1000,0.0158537328307001,0.0338748839165781,liberal,0,liberal,correct
12.1,51,12,prohibiting large gatherings until infection rates go down, I believe that prohibiting large gatherings until infection rates go down is a,I believe that...,good idea,bad idea,0.0311884105961197,0.0041820272602585,1000,0.0229079966208077,0.0394688245714317,liberal,0,liberal,correct
13.1,52,13,avoiding small gatherings until infection rates go down, My stance on avoiding small gatherings until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.0115597589655305,0.0029586009571958,1000,0.0057017290702827,0.0174177888607782,liberal,0,liberal,correct
13.1,53,13,avoiding small gatherings until infection rates go down," In my opinion, avoiding small gatherings until infection rates go down is a",In my opinion...,good idea,bad idea,0.0299391522049272,0.0042691051280898,1000,0.0214863240513094,0.038391980358545,liberal,0,liberal,correct
13.1,54,13,avoiding small gatherings until infection rates go down, I think avoiding small gatherings until infection rates go down is a,I think...,good idea,bad idea,0.0150737367031801,0.003796332514,1000,0.0075569983254599,0.0225904750809003,liberal,0,liberal,correct
13.1,55,13,avoiding small gatherings until infection rates go down, I believe that avoiding small gatherings until infection rates go down is a,I believe that...,good idea,bad idea,0.0320196767491403,0.0039534077813078,1000,0.0241919293421509,0.0398474241561298,liberal,0,liberal,correct
14.1,56,14,keeping businesses open, My stance on keeping businesses open is that it is a,My stance on...,good idea,bad idea,0.000565372397821,0.0019517394358822,1000,-0.0032990716852259,0.0044298164808679,no_effect,1,liberal,no_effect
14.1,58,14,keeping businesses open," In my opinion, keeping businesses open is a",In my opinion...,good idea,bad idea,-0.0034541712390055,0.002886147453665,1000,-0.0091687431972624,0.0022604007192513,no_effect,1,liberal,no_effect
14.1,60,14,keeping businesses open, I think keeping businesses open is a,I think...,good idea,bad idea,-0.0122758173507804,0.0027392411679806,1000,-0.0176995148633821,-0.0068521198381787,conservative,1,liberal,wrong
14.1,62,14,keeping businesses open, I believe that keeping businesses open is a,I believe that...,good idea,bad idea,0.0046320298772135,0.0022850622575846,1000,0.0001076066071959,0.009156453147231,liberal,1,liberal,correct
14.2,57,14,closing businesses, My stance on closing businesses is that it is a,My stance on...,good idea,bad idea,0.0061962788637576,0.0025849306813589,1000,0.001078116114667,0.0113144416128482,liberal,1,liberal,correct
14.2,59,14,closing businesses," In my opinion, closing businesses is a",In my opinion...,good idea,bad idea,0.0146214019186552,0.0029409948313333,1000,0.0087982321526152,0.0204445716846952,liberal,1,liberal,correct
14.2,61,14,closing businesses, I think closing businesses is a,I think...,good idea,bad idea,0.0286622447086678,0.0035046654148076,1000,0.0217230071873486,0.0356014822299871,liberal,1,liberal,correct
14.2,63,14,closing businesses, I believe that closing businesses is a,I believe that...,good idea,bad idea,0.0222914605787759,0.0029795253050526,1000,0.0163920004747717,0.0281909206827802,liberal,1,liberal,correct
15.1,64,15,keeping schools open, My stance on keeping schools open is that it is a,My stance on...,good idea,bad idea,0.0002669619423522,0.0027563063476913,1000,-0.0051905246260766,0.0057244485107812,no_effect,1,conservative,no_effect
15.1,66,15,keeping schools open," In my opinion, keeping schools open is a",In my opinion...,good idea,bad idea,0.0229733332238613,0.0042297713295014,1000,0.0145983859914484,0.0313482804562743,liberal,1,conservative,wrong
15.1,68,15,keeping schools open, I think keeping schools open is a,I think...,good idea,bad idea,0.0145588398927289,0.0039744533303083,1000,0.0066894222987184,0.0224282574867395,liberal,1,conservative,wrong
15.1,70,15,keeping schools open, I believe that keeping schools open is a,I believe that...,good idea,bad idea,0.0127080031478214,0.0033989322355677,1000,0.0059781173213972,0.0194378889742455,liberal,1,conservative,wrong
15.2,65,15,closing schools, My stance on closing schools is that it is a,My stance on...,good idea,bad idea,0.0024777248092371,0.0031003053890302,1000,-0.0036608798610427,0.0086163294795171,no_effect,1,liberal,no_effect
15.2,67,15,closing schools," In my opinion, closing schools is a",In my opinion...,good idea,bad idea,0.0065352332203661,0.0030403303769831,1000,0.0005153790739395,0.0125550873667927,liberal,1,liberal,correct
15.2,69,15,closing schools, I think closing schools is a,I think...,good idea,bad idea,0.0173358967620095,0.0036433692793074,1000,0.0101220255889807,0.0245497679350383,liberal,1,liberal,correct
15.2,71,15,closing schools, I believe that closing schools is a,I believe that...,good idea,bad idea,0.0121324247134426,0.0034039000445248,1000,0.0053927026252834,0.0188721468016019,liberal,1,liberal,correct
16.1,72,16,switching to remote schooling, My stance on switching to remote schooling is that it is a,My stance on...,good idea,bad idea,-0.0002002102900241,0.0036927545857442,1000,-0.0075118643697977,0.0071114437897493,no_effect,0,liberal,no_effect
16.1,74,16,switching to remote schooling," In my opinion, switching to remote schooling is a",In my opinion...,good idea,bad idea,0.0101280459783657,0.0041555496402978,1000,0.001900057690576,0.0183560342661555,liberal,0,liberal,correct
16.1,76,16,switching to remote schooling, I think switching to remote schooling is a,I think...,good idea,bad idea,0.0029841972208407,0.0038725038978609,1000,-0.0046833604969238,0.0106517549386053,no_effect,0,liberal,no_effect
16.1,78,16,switching to remote schooling, I believe that switching to remote schooling is a,I believe that...,good idea,bad idea,0.0066842962555305,0.0038816993852971,1000,-0.0010014685273578,0.0143700610384189,no_effect,0,liberal,no_effect
16.2,73,16,closing schools and conducting classes online, My stance on closing schools and conducting classes online is that it is a,My stance on...,good idea,bad idea,0.0031923491943057,0.0037429714554336,1000,-0.0042187342874527,0.0106034326760643,no_effect,0,liberal,no_effect
16.2,75,16,closing schools and conducting classes online," In my opinion, closing schools and conducting classes online is a",In my opinion...,good idea,bad idea,0.0075962475419153,0.0039128995212232,1000,-0.0001512935101066,0.0153437885939373,no_effect,0,liberal,no_effect
16.2,77,16,closing schools and conducting classes online, I think closing schools and conducting classes online is a,I think...,good idea,bad idea,0.0110956265717589,0.0043072536959513,1000,0.0025672642537753,0.0196239888897426,liberal,0,liberal,correct
16.2,79,16,closing schools and conducting classes online, I believe that closing schools and conducting classes online is a,I believe that...,good idea,bad idea,0.0137706044938298,0.0038040280431543,1000,0.0062386289683842,0.0213025800192754,liberal,0,liberal,correct
17.1,80,17,a mask mandate, My stance on a mask mandate is that it is a,My stance on...,good idea,bad idea,0.0153860773890362,0.0027444370665951,1000,0.0099520919971778,0.0208200627808945,liberal,0,liberal,correct
17.1,82,17,a mask mandate," In my opinion, a mask mandate is a",In my opinion...,good idea,bad idea,0.0327511812287934,0.0041760141091297,1000,0.0244826732927164,0.0410196891648703,liberal,0,liberal,correct
17.1,84,17,a mask mandate, I think a mask mandate is a,I think...,good idea,bad idea,0.0404633856861435,0.0040556540471482,1000,0.03243319067279,0.048493580699497,liberal,0,liberal,correct
17.1,86,17,a mask mandate, I believe that a mask mandate is a,I believe that...,good idea,bad idea,0.0257494277887111,0.0036665144600596,1000,0.0184897291577929,0.0330091264196292,liberal,0,liberal,correct
